year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
2021,1,Australia,X1,SUV,Petrol,82234,315372,96,0.97,6.29,1.2,8,324
2018,8,Australia,i4,Sedan,Electric,82291,447798,234,0.97,6.29,1.2,7,556
2022,12,USA,5 Series,Electric,Hybrid,40594,259755,25,0.97,6.29,1.2,7,152
2019,11,Australia,i7,SUV,Electric,42371,323541,319,0.97,6.29,1.2,5,730
2021,12,Brazil,X5,SUV,Diesel,82315,482015,367,0.97,6.29,1.2,2,1156
2024,12,China,i7,Electric,Diesel,118564,349155,172,0.97,6.29,1.2,6,687
2017,4,USA,i4,Electric,Diesel,114526,129183,107,0.97,6.29,1.2,10,439
2021,4,USA,X7,Sedan,Diesel,51626,405398,165,0.97,6.29,1.2,3,489
2022,5,India,3 Series,Sedan,Petrol,42130,487480,11,0.97,6.29,1.2,4,435
2019,8,UK,7 Series,SUV,Petrol,41828,92317,359,0.97,6.29,1.2,10,1080
2018,5,UK,5 Series,Electric,Electric,92514,228986,178,0.97,6.29,1.2,2,447
2022,8,Brazil,X3,Electric,Hybrid,87664,265705,324,0.97,6.29,1.2,2,827
2022,10,Canada,X3,Electric,Diesel,52883,414633,334,0.97,6.29,1.2,8,712
2017,1,Germany,X3,SUV,Electric,78059,226326,384,0.97,6.29,1.2,8,1181
2020,12,Germany,X1,Electric,Petrol,119078,352240,101,0.97,6.29,1.2,10,307
2019,10,France,X3,Electric,Petrol,77932,365929,190,0.97,6.29,1.2,6,725
2016,9,Brazil,7 Series,SUV,Hybrid,96269,102344,240,0.97,6.29,1.2,5,588
2022,6,USA,3 Series,Sedan,Hybrid,110986,296060,310,0.97,6.29,1.2,8,644
2020,3,Brazil,X3,Sedan,Hybrid,37035,432526,157,0.97,6.29,1.2,4,534
2016,8,Brazil,i7,SUV,Electric,75745,249618,289,0.97,6.29,1.2,4,1004
2019,9,Brazil,i7,Electric,Petrol,52241,209484,198,0.97,6.29,1.2,5,544
2015,6,UK,X1,SUV,Petrol,87975,160489,356,0.97,6.29,1.2,1,751
2024,11,Brazil,7 Series,Sedan,Hybrid,58154,494874,359,0.97,6.29,1.2,1,1061
2020,7,China,3 Series,Sedan,Diesel,60625,492765,323,0.97,6.29,1.2,2,954
